081ff9bb table/code pointer (aligned) | 帕奇利兹：兹！
08200151 other unaligned pointer | 框羹憨傲滥河
08200701 other unaligned pointer | 眉\n我们在预选赛中确实做得很好，\n但是我们丝毫没有赢得吸引力[b0]\p也许这意味着我不得不去观看\n其他对手是如何做的[b0]
082020e4 other unaligned pointer | 眉\n你想要参加哪个部门？\n需要建议吗？\p在任一部门中，例如可爱部门\n我认为裁判不仅仅\l在第一回合中判定。\p你应该努力制定出更多方法\n来更好的培养你的宝可梦。
08202175 other unaligned pointer |                                                                                我培养宝可梦让它变得可爱。\p我发现你可以让宝可梦参加\n可爱部门！\p我很高兴我是用爱心来培养\n我的宝可梦。
08212093 other unaligned pointer |  ，真令人吃惊！\n你不是有一个，而是有两个化石？\p但我的机器一次\n只能复活一只宝可梦，\p你想复活\n其中一只吗？
08242210 other unaligned pointer |  涸颞侩现在为你的宝可梦\n进行回复。
08244246 other unaligned pointer |                我十分想\n和你组队，{fd01}[b0]
08244520 table/code pointer (aligned) | 为我推荐了一支队伍。\n我所拥有的是有{fd02}的{fd03}
082446b5 table/code pointer (aligned) | 败我一直希望\n能和你组队[b0]
0824474f table/code pointer (aligned) | 给过我一些建议，\n为此我非常感激。\p我的队伍里有一只\n会{fd02}的{fd03}
082448a8 table/code pointer (aligned) |  [b0]\n我知道我水平还不够[b0]
082449e7 table/code pointer (aligned) |  ？为什么你要拒绝我？\n不要光看外表啊！
08244d08 table/code pointer (aligned) | 邪真小气！\n要知道我可是经常被夸奖的！
08245001 table/code pointer (aligned) |                   我的老师{fd04}建议我用\n擅长{fd02}的{fd03}
082450e7 table/code pointer (aligned) | 狼我们有大麻烦了！\n明天对战塔就要关门了！\p[b0] [b0] [b0] [b0] [b0] [b0]\n只是开个玩笑！\p人们都叫我{fd04}！\n{fd02}的第一千个徒弟！\l但实际上，我是第{fd03}个！
08245198 table/code pointer (aligned) | 给过我一些建议，让我用\n会{fd02}的{fd03}
0824529b table/code pointer (aligned) |  ，你真绝情！那就让我\n破坏掉对战塔吧！\p当然，我不是说真的！
082452f0 table/code pointer (aligned) | 榔就是你，我是个玩摇滚的说！\n宝可梦，我也能控制的说！\p我是{fd04}一个说唱水手的说，\n别把我当成普通艺人了的说！\p我是{fd02}的第{fd03}个徒弟，\n哼哼，可别那么快拒绝我！
082453b6 table/code pointer (aligned) | 给的建议我照做了，\n我为我的队伍感到骄傲！\l使用{fd02}的{fd03}
08245465 table/code pointer (aligned) | 款榔我喜欢这样的你！\n让我现在就去登记！
08245537 table/code pointer (aligned) | 教我怎么做，\n使用{fd02}的{fd03}
08245820 table/code pointer (aligned) |  ，你不想吗？\n{fd01}，我们肯定能搭档得很好的。
082459f9 table/code pointer (aligned) | 给我推荐了一支队伍。\p他是很认真地建议我的，\n所以我听了他的话，\l带了使用{fd02}的{fd03}
08245b3f table/code pointer (aligned) | 赣你为什么拒绝我？\n是在开我玩笑吗？
08245d08 table/code pointer (aligned) |  ！如果是你和我的宝可梦\n搭档的话，我们会战无不胜的！
08246d3f table/code pointer (aligned) | 我有什么？\n会{fd02}的{fd03}和
08246fcd table/code pointer (aligned) |  ，谢谢你对我的信任。\n我会去注册的。
08247eb5 table/code pointer (aligned) | 我现在有的宝可梦是\n一只带着{fd02}的{fd03}和
08247fb7 table/code pointer (aligned) | 我的队伍里有\n一只带着{fd02}的{fd03}和
